ward,precinct,total,Bobby L. Rush,Bobby L. Rush Percent,Raymond G. Wardingley,Raymond G. Wardingley Percent,precinct_id
6,41,404,397,98.27,7,1.73,06041
6,42,336,328,97.62,8,2.38,06042
6,43,428,419,97.9,9,2.1,06043
6,44,411,405,98.54,6,1.46,06044
6,45,239,236,98.74,3,1.26,06045
6,46,337,329,97.63,8,2.37,06046
6,47,410,403,98.29,7,1.71,06047
6,48,440,434,98.64,6,1.36,06048
6,49,419,408,97.37,11,2.63,06049
6,50,371,365,98.38,6,1.62,06050
6,51,295,291,98.64,4,1.36,06051
6,52,351,345,98.29,6,1.71,06052
6,53,374,359,95.99,15,4.01,06053
6,54,421,412,97.86,9,2.14,06054
6,55,349,343,98.28,6,1.72,06055
6,56,293,286,97.61,7,2.39,06056
6,57,270,268,99.26,2,0.74,06057
6,58,384,375,97.66,9,2.34,06058
6,59,363,357,98.35,6,1.65,06059
6,60,264,259,98.11,5,1.89,06060
6,61,310,304,98.06,6,1.94,06061
6,62,137,134,97.81,3,2.19,06062
6,63,355,350,98.59,5,1.41,06063
6,65,154,153,99.35,1,0.65,06065
6,66,428,416,97.2,12,2.8,06066
8,1,398,393,98.74,5,1.26,08001
8,2,212,210,99.06,2,0.94,08002
8,3,64,63,98.44,1,1.56,08003
8,6,405,394,97.28,11,2.72,08006
8,10,466,458,98.28,8,1.72,08010
8,11,347,340,97.98,7,2.02,08011
8,12,388,372,95.88,16,4.12,08012
8,13,323,317,98.14,6,1.86,08013
8,14,423,416,98.35,7,1.65,08014
8,16,369,361,97.83,8,2.17,08016
8,18,296,292,98.65,4,1.35,08018
8,20,292,292,100.0,0,0.0,08020
8,21,292,284,97.26,8,2.74,08021
8,22,355,345,97.18,10,2.82,08022
8,29,467,453,97.0,14,3.0,08029
8,30,326,317,97.24,9,2.76,08030
8,31,311,308,99.04,3,0.96,08031
8,33,351,346,98.58,5,1.42,08033
8,35,454,453,99.78,1,0.22,08035
8,37,482,477,98.96,5,1.04,08037
8,38,400,394,98.5,6,1.5,08038
8,40,446,438,98.21,8,1.79,08040
8,41,345,339,98.26,6,1.74,08041
8,43,421,414,98.34,7,1.66,08043
8,45,354,342,96.61,12,3.39,08045
8,48,294,290,98.64,4,1.36,08048
8,52,364,360,98.9,4,1.1,08052
8,53,410,400,97.56,10,2.44,08053
8,54,416,401,96.39,15,3.61,08054
8,55,469,459,97.87,10,2.13,08055
8,56,440,431,97.95,9,2.05,08056
8,58,401,394,98.25,7,1.75,08058
8,59,294,284,96.6,10,3.4,08059
8,61,322,320,99.38,2,0.62,08061
8,64,375,372,99.2,3,0.8,08064
8,67,220,213,96.82,7,3.18,08067
8,68,337,329,97.63,8,2.37,08068
8,69,331,328,99.09,3,0.91,08069
9,54,315,303,96.19,12,3.81,09054
9,56,238,234,98.32,4,1.68,09056
9,58,299,292,97.66,7,2.34,09058
15,2,268,263,98.13,5,1.87,15002
15,3,282,275,97.52,7,2.48,15003
15,4,317,311,98.11,6,1.89,15004
15,5,308,303,98.38,5,1.62,15005
15,6,317,291,91.8,26,8.2,15006
15,7,286,279,97.55,7,2.45,15007
15,8,443,429,96.84,14,3.16,15008
15,9,314,304,96.82,10,3.18,15009
15,11,333,324,97.3,9,2.7,15011
15,12,210,208,99.05,2,0.95,15012
15,17,316,311,98.42,5,1.58,15017
15,18,252,245,97.22,7,2.78,15018
15,19,284,275,96.83,9,3.17,15019
15,20,269,264,98.14,5,1.86,15020
15,21,301,296,98.34,5,1.66,15021
15,22,358,336,93.85,22,6.15,15022
15,23,251,247,98.41,4,1.59,15023
15,24,324,306,94.44,18,5.56,15024
15,26,253,244,96.44,9,3.56,15026
15,27,244,236,96.72,8,3.28,15027
15,29,183,175,95.63,8,4.37,15029
15,30,380,366,96.32,14,3.68,15030
15,31,249,242,97.19,7,2.81,15031
15,33,258,252,97.67,6,2.33,15033
15,34,249,247,99.2,2,0.8,15034
15,35,299,291,97.32,8,2.68,15035
15,36,272,267,98.16,5,1.84,15036
15,37,259,256,98.84,3,1.16,15037
15,38,310,297,95.81,13,4.19,15038
15,39,311,305,98.07,6,1.93,15039
15,40,327,319,97.55,8,2.45,15040
15,41,416,389,93.51,27,6.49,15041
15,42,210,205,97.62,5,2.38,15042
15,43,273,261,95.6,12,4.4,15043
15,45,162,155,95.68,7,4.32,15045
15,46,228,222,97.37,6,2.63,15046
15,47,328,325,99.09,3,0.91,15047
15,48,279,271,97.13,8,2.87,15048
15,49,121,105,86.78,16,13.22,15049
15,50,314,302,96.18,12,3.82,15050
15,51,216,212,98.15,4,1.85,15051
15,52,194,188,96.91,6,3.09,15052
16,2,230,223,96.96,7,3.04,16002
16,3,298,288,96.64,10,3.36,16003
16,5,327,319,97.55,8,2.45,16005
16,8,234,223,95.3,11,4.7,16008
16,9,352,341,96.88,11,3.13,16009
16,10,247,237,95.95,10,4.05,16010
16,12,248,241,97.18,7,2.82,16012
16,14,321,316,98.44,5,1.56,16014
16,19,234,229,97.86,5,2.14,16019
16,25,236,232,98.31,4,1.69,16025
16,26,301,297,98.67,4,1.33,16026
16,27,297,286,96.3,11,3.7,16027
16,28,335,324,96.72,11,3.28,16028
16,31,330,324,98.18,6,1.82,16031
16,34,297,290,97.64,7,2.36,16034
16,36,316,311,98.42,5,1.58,16036
16,37,312,303,97.12,9,2.88,16037
16,38,326,319,97.85,7,2.15,16038
16,40,352,338,96.02,14,3.98,16040
16,41,158,153,96.84,5,3.16,16041
16,43,294,287,97.62,7,2.38,16043
16,44,346,320,92.49,26,7.51,16044
16,45,205,201,98.05,4,1.95,16045
16,46,67,67,100.0,0,0.0,16046
16,47,159,153,96.23,6,3.77,16047
17,1,252,249,98.81,3,1.19,17001
17,2,340,333,97.94,7,2.06,17002
17,3,300,298,99.33,2,0.67,17003
17,4,454,450,99.12,4,0.88,17004
17,5,319,310,97.18,9,2.82,17005
17,6,298,292,97.99,6,2.01,17006
17,7,464,456,98.28,8,1.72,17007
17,8,298,293,98.32,5,1.68,17008
17,9,246,242,98.37,4,1.63,17009
17,10,333,316,94.89,17,5.11,17010
17,11,362,355,98.07,7,1.93,17011
17,12,370,358,96.76,12,3.24,17012
17,13,247,243,98.38,4,1.62,17013
17,14,356,346,97.19,10,2.81,17014
17,15,327,320,97.86,7,2.14,17015
17,16,302,299,99.01,3,0.99,17016
17,17,298,294,98.66,4,1.34,17017
17,18,373,365,97.86,8,2.14,17018
17,19,173,170,98.27,3,1.73,17019
17,20,349,341,97.71,8,2.29,17020
17,21,414,405,97.83,9,2.17,17021
17,22,350,345,98.57,5,1.43,17022
17,23,277,275,99.28,2,0.72,17023
17,24,423,414,97.87,9,2.13,17024
17,25,246,243,98.78,3,1.22,17025
17,26,416,406,97.6,10,2.4,17026
17,27,430,418,97.21,12,2.79,17027
17,28,298,292,97.99,6,2.01,17028
17,29,378,367,97.09,11,2.91,17029
17,30,407,402,98.77,5,1.23,17030
17,31,341,340,99.71,1,0.29,17031
17,32,375,371,98.93,4,1.07,17032
17,33,279,274,98.21,5,1.79,17033
17,34,301,288,95.68,13,4.32,17034
17,35,210,205,97.62,5,2.38,17035
17,36,246,241,97.97,5,2.03,17036
17,37,335,330,98.51,5,1.49,17037
17,38,344,329,95.64,15,4.36,17038
17,39,283,278,98.23,5,1.77,17039
17,40,269,265,98.51,4,1.49,17040
17,41,281,274,97.51,7,2.49,17041
17,42,306,300,98.04,6,1.96,17042
17,43,271,263,97.05,8,2.95,17043
17,44,299,295,98.66,4,1.34,17044
17,45,250,243,97.2,7,2.8,17045
17,46,366,362,98.91,4,1.09,17046
17,47,215,208,96.74,7,3.26,17047
17,48,386,380,98.45,6,1.55,17048
17,49,292,289,98.97,3,1.03,17049
17,50,372,366,98.39,6,1.61,17050
17,51,419,403,96.18,16,3.82,17051
17,52,436,427,97.94,9,2.06,17052
17,53,317,312,98.42,5,1.58,17053
17,54,347,344,99.14,3,0.86,17054
17,55,316,313,99.05,3,0.95,17055
17,56,361,352,97.51,9,2.49,17056
17,57,369,366,99.19,3,0.81,17057
17,58,266,257,96.62,9,3.38,17058
17,59,205,193,94.15,12,5.85,17059
17,60,416,412,99.04,4,0.96,17060
17,61,311,305,98.07,6,1.93,17061
17,62,305,300,98.36,5,1.64,17062
17,63,350,343,98.0,7,2.0,17063
17,64,268,266,99.25,2,0.75,17064
18,1,234,216,92.31,18,7.69,18001
18,2,376,339,90.16,37,9.84,18002
18,4,382,358,93.72,24,6.28,18004
18,5,398,391,98.24,7,1.76,18005
18,7,351,300,85.47,51,14.53,18007
18,8,194,182,93.81,12,6.19,18008
18,9,374,341,91.18,33,8.82,18009
18,10,499,463,92.79,36,7.21,18010
18,11,365,284,77.81,81,22.19,18011
18,12,444,408,91.89,36,8.11,18012
18,13,436,398,91.28,38,8.72,18013
18,14,443,423,95.49,20,4.51,18014
18,16,439,418,95.22,21,4.78,18016
18,17,309,266,86.08,43,13.92,18017
18,18,361,348,96.4,13,3.6,18018
18,19,289,286,98.96,3,1.04,18019
18,20,379,370,97.63,9,2.37,18020
18,21,505,456,90.3,49,9.7,18021
18,22,444,418,94.14,26,5.86,18022
18,23,355,331,93.24,24,6.76,18023
18,24,433,423,97.69,10,2.31,18024
18,25,404,398,98.51,6,1.49,18025
18,26,290,278,95.86,12,4.14,18026
18,27,420,388,92.38,32,7.62,18027
18,29,418,343,82.06,75,17.94,18029
18,30,306,303,99.02,3,0.98,18030
18,31,381,353,92.65,28,7.35,18031
18,32,417,407,97.6,10,2.4,18032
18,33,332,327,98.49,5,1.51,18033
18,34,454,413,90.97,41,9.03,18034
