ward,precinct,total,Richard A. Devine,Richard A. Devine Percent,Phillip Spiwak,Phillip Spiwak Percent,precinct_id
1,1,477,399,83.65,78,16.35,01001
1,2,610,498,81.64,112,18.36,01002
1,3,498,430,86.35,68,13.65,01003
1,4,437,379,86.73,58,13.27,01004
1,5,543,445,81.95,98,18.05,01005
1,6,375,311,82.93,64,17.07,01006
1,7,630,508,80.63,122,19.37,01007
1,8,420,349,83.1,71,16.9,01008
1,9,327,284,86.85,43,13.15,01009
1,10,407,342,84.03,65,15.97,01010
1,11,534,473,88.58,61,11.42,01011
1,12,502,420,83.67,82,16.33,01012
1,13,434,374,86.18,60,13.82,01013
1,14,597,518,86.77,79,13.23,01014
1,15,293,265,90.44,28,9.56,01015
1,16,215,202,93.95,13,6.05,01016
1,17,521,448,85.99,73,14.01,01017
1,18,321,290,90.34,31,9.66,01018
1,19,484,395,81.61,89,18.39,01019
1,20,328,285,86.89,43,13.11,01020
1,21,692,551,79.62,141,20.38,01021
1,22,387,347,89.66,40,10.34,01022
1,23,501,437,87.23,64,12.77,01023
1,24,525,460,87.62,65,12.38,01024
1,25,433,356,82.22,77,17.78,01025
1,26,494,407,82.39,87,17.61,01026
1,27,454,383,84.36,71,15.64,01027
1,28,433,374,86.37,59,13.63,01028
1,29,359,293,81.62,66,18.38,01029
1,30,520,454,87.31,66,12.69,01030
1,31,523,387,74.0,136,26.0,01031
1,32,335,287,85.67,48,14.33,01032
1,33,514,446,86.77,68,13.23,01033
1,34,294,251,85.37,43,14.63,01034
1,35,325,256,78.77,69,21.23,01035
1,36,565,445,78.76,120,21.24,01036
1,37,527,439,83.3,88,16.7,01037
1,38,229,196,85.59,33,14.41,01038
1,39,504,416,82.54,88,17.46,01039
1,40,184,152,82.61,32,17.39,01040
2,1,642,491,76.48,151,23.52,02001
2,2,14,12,85.71,2,14.29,02002
2,3,450,372,82.67,78,17.33,02003
2,4,308,290,94.16,18,5.84,02004
2,5,229,208,90.83,21,9.17,02005
2,6,567,402,70.9,165,29.1,02006
2,7,426,401,94.13,25,5.87,02007
2,8,523,402,76.86,121,23.14,02008
2,9,255,243,95.29,12,4.71,02009
2,10,119,114,95.8,5,4.2,02010
2,11,192,154,80.21,38,19.79,02011
2,12,581,404,69.54,177,30.46,02012
2,13,323,263,81.42,60,18.58,02013
2,14,461,433,93.93,28,6.07,02014
2,15,82,76,92.68,6,7.32,02015
2,16,552,429,77.72,123,22.28,02016
2,17,375,359,95.73,16,4.27,02017
2,18,1202,931,77.45,271,22.55,02018
