ward,precinct,total,Deborah L. Graham,Deborah L. Graham Percent,precinct_id
28,64,152,152,100.0,28064
28,67,121,121,100.0,28067
28,71,221,221,100.0,28071
29,4,349,349,100.0,29004
29,5,388,388,100.0,29005
29,8,306,306,100.0,29008
29,11,484,484,100.0,29011
29,13,392,392,100.0,29013
29,18,392,392,100.0,29018
29,23,449,449,100.0,29023
29,29,465,465,100.0,29029
29,33,350,350,100.0,29033
29,35,325,325,100.0,29035
29,37,351,351,100.0,29037
29,40,496,496,100.0,29040
29,41,379,379,100.0,29041
29,43,494,494,100.0,29043
29,44,357,357,100.0,29044
29,45,357,357,100.0,29045
29,46,375,375,100.0,29046
29,47,438,438,100.0,29047
29,50,336,336,100.0,29050
29,51,329,329,100.0,29051
36,2,213,213,100.0,36002
36,16,400,400,100.0,36016
36,22,401,401,100.0,36022
36,23,143,143,100.0,36023
36,24,295,295,100.0,36024
36,33,208,208,100.0,36033
36,44,298,298,100.0,36044
36,45,261,261,100.0,36045
36,54,370,370,100.0,36054
36,55,342,342,100.0,36055
37,5,316,316,100.0,37005
37,6,319,319,100.0,37006
37,7,248,248,100.0,37007
37,9,360,360,100.0,37009
37,18,307,307,100.0,37018
37,23,232,232,100.0,37023
37,29,330,330,100.0,37029
37,32,321,321,100.0,37032
37,35,177,177,100.0,37035
37,36,330,330,100.0,37036
37,37,289,289,100.0,37037
37,38,387,387,100.0,37038
37,45,236,236,100.0,37045
37,46,296,296,100.0,37046
37,53,288,288,100.0,37053
