ward,precinct,total,Harry Osterman,Harry Osterman Percent,precinct_id
40,3,372,372,100.0,40003
40,4,287,287,100.0,40004
40,7,355,355,100.0,40007
40,11,303,303,100.0,40011
40,12,236,236,100.0,40012
40,13,421,421,100.0,40013
40,16,340,340,100.0,40016
40,26,353,353,100.0,40026
40,27,282,282,100.0,40027
40,28,361,361,100.0,40028
40,35,217,217,100.0,40035
40,37,259,259,100.0,40037
40,42,48,48,100.0,40042
40,43,45,45,100.0,40043
40,47,386,386,100.0,40047
48,1,435,435,100.0,48001
48,2,305,305,100.0,48002
48,3,520,520,100.0,48003
48,5,298,298,100.0,48005
48,6,482,482,100.0,48006
48,7,371,371,100.0,48007
48,8,278,278,100.0,48008
48,9,338,338,100.0,48009
48,10,283,283,100.0,48010
48,11,526,526,100.0,48011
48,12,410,410,100.0,48012
48,13,293,293,100.0,48013
48,14,445,445,100.0,48014
48,15,313,313,100.0,48015
48,16,331,331,100.0,48016
48,18,309,309,100.0,48018
48,19,333,333,100.0,48019
48,20,165,165,100.0,48020
48,22,412,412,100.0,48022
48,26,412,412,100.0,48026
48,27,220,220,100.0,48027
48,28,283,283,100.0,48028
48,29,239,239,100.0,48029
48,30,361,361,100.0,48030
48,31,356,356,100.0,48031
48,32,422,422,100.0,48032
48,33,273,273,100.0,48033
48,36,294,294,100.0,48036
48,37,323,323,100.0,48037
48,38,414,414,100.0,48038
48,39,294,294,100.0,48039
48,41,263,263,100.0,48041
48,42,342,342,100.0,48042
48,43,513,513,100.0,48043
48,44,424,424,100.0,48044
48,45,314,314,100.0,48045
48,46,311,311,100.0,48046
48,47,360,360,100.0,48047
48,48,359,359,100.0,48048
48,50,434,434,100.0,48050
48,51,463,463,100.0,48051
48,52,263,263,100.0,48052
48,53,340,340,100.0,48053
48,54,276,276,100.0,48054
49,2,340,340,100.0,49002
49,3,228,228,100.0,49003
49,4,187,187,100.0,49004
49,7,353,353,100.0,49007
49,8,318,318,100.0,49008
49,9,325,325,100.0,49009
49,10,310,310,100.0,49010
49,11,230,230,100.0,49011
49,12,359,359,100.0,49012
49,13,379,379,100.0,49013
49,15,313,313,100.0,49015
49,17,62,62,100.0,49017
49,18,207,207,100.0,49018
49,19,287,287,100.0,49019
49,21,398,398,100.0,49021
49,22,273,273,100.0,49022
49,23,318,318,100.0,49023
49,24,146,146,100.0,49024
49,25,408,408,100.0,49025
49,26,327,327,100.0,49026
49,27,451,451,100.0,49027
49,29,448,448,100.0,49029
49,31,149,149,100.0,49031
49,32,285,285,100.0,49032
49,33,298,298,100.0,49033
49,36,479,479,100.0,49036
49,37,155,155,100.0,49037
49,39,335,335,100.0,49039
49,42,386,386,100.0,49042
49,43,360,360,100.0,49043
50,34,15,15,100.0,50034
